80.16.151.184|80.16.151.191|TELECOM ITALIA LAB SPA|IT|
80.16.151.180|80.16.151.183|TELECOM ITALIA LAB SPA|IT|
80.16.85.128|80.16.85.143|VERO INTERNATIONAL SOFTWARE SRL|IT|
194.206.161.47|194.206.161.47|RPN HoldingZI nord BP 713201007Bourg en Bresse|FR|
213.159.160.0|213.159.191.255|Telefonaktiebolaget L M Ericsson|DK|
194.219.52.224|194.219.52.239|FORTHnet NOCKallithea|GR|
217.204.110.64|217.204.110.127|Radisson Edwardian Hotels - radisson-gw|GB|
213.249.146.192|213.249.146.255|IMServ Europe 2Mb LAN|GB|
194.109.136.80|194.109.136.87|zinpro animal nutrition|NL|
194.249.198.0|194.249.198.159|Tehnoloski park LjubljanaLjubljanaSloveniaARNES-ID 2623|SI|
217.141.234.232|217.141.234.239|INNOTEC|IT|
217.57.242.200|217.57.242.203|IST SAL B SEM RADIO PROPOSTA|IT|
195.144.37.128|195.144.37.135|Theoreme SAMies, Switzerland|CH|
62.27.21.0|62.27.21.255|Holger HartstockPostfach 50142350974 Koeln|DE|
217.141.234.72|217.141.234.75|COMUNEDISALERNO|IT|
217.56.247.16|217.56.247.31|EMMEGEST SAS|IT|
217.56.55.64|217.56.55.71|ARTI GRAFICHE MARIO BAZZI SPA|IT|
212.82.218.48|212.82.218.63|Clinical diagnostic centre "Health of the elderly people"32, Manuilskogo st.Kiev, 04050|UA|
212.63.174.183|212.63.174.183|Korps Landelijke Politiediensten Dienst I & A Services PolitieHoofdstraat 54, 3972 LB Driebergen-RijsenburgRemote connection to SAP|NL|
217.141.187.32|217.141.187.35|SCUOLE PUBBLICHE SCUOLE MEDIE|IT|
213.225.111.0|213.225.111.63|PM-International|NO|
62.49.99.224|62.49.99.227|DEMON ADSL CUSTOMER|GB|
217.5.150.224|217.5.150.231|Clemens Bruentrup|DE|
212.152.165.136|212.152.165.143|Thyssen Austria TI|AT|
194.140.98.160|194.140.98.167|M. W. Verlag GmbH|DE|
80.17.178.160|80.17.178.191|LA SPEZIA CONTANEIR TERMINAL|IT|
195.194.136.0|195.194.139.255|Aberdeen College|GB|
217.56.243.184|217.56.243.191|P.L.PISANO & C SRL|IT|
195.49.87.248|195.49.87.255|Kubo Tech AGEffretikon|CH|
217.141.57.72|217.141.57.79|CALVETTI GIOVANNI|IT|
80.16.44.48|80.16.44.63|FENCO SPA|IT|
217.183.15.64|217.183.15.95|West Drayton Primary School|GB|
213.201.148.16|213.201.148.31|NovaXess customer network for Nederlandse Postcode Loterij|NL|
213.236.64.96|213.236.64.127|Spuigroep B.V.Prinses Marijkestraat 52595 TL Den Haag|NL|
213.147.55.140|213.147.55.143|Subnetwork for MD13421-RIPE|RU|
80.16.111.0|80.16.111.3|SOC. TRASPORTO TELEMATICO SPA|IT|
62.67.0.0|62.67.255.255|Level 3 Communications Ltd|GB|
80.17.176.56|80.17.176.63|HAMAL LOGISTICA|IT|
195.150.8.128|195.150.8.135|POLYMUS Krakow|PL|
212.154.240.24|212.154.240.31|Infirmation and Testing centreAgency of the Repablic of KazakhstanPetropavlovsk|KZ|
212.10.61.216|212.10.61.223|Soeren Parbaek|DK|
62.84.76.0|62.84.76.31|FIBERSAT SITE1|LB|
212.11.160.0|212.11.191.255|SPSNET|SA|
